x,y,distance,angle
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
648.0,1015.0,9.82,-13.94009216589862
726.0,891.5,6.34,-8.997695852534562
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
